Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Rainfall_mm_was_missing,Soil_Moisture_pct_was_missing,Yield_Outlier,Yield_Index,Price_Index,Cost_per_ha,Revenue_per_ha,Profit_per_ha,BCR,Loss_Making,Water_per_ha,NPK_total,Rain_Band,Temp_Band,Profit_Robust_Z,Water_Ratio
SF10016,Andhra Pradesh,Warangal,Maize,Rabi,2.26,494.7,23.7,45.6,8.8,6.98,22.5,119.3,15.0,74.7,Flood,189.2,6.34,0.72,3.21,7.25,18985,182127,137641,-44486,1455,4.983,29.7,False,False,False,1.1263157894736842,0.9049525716192383,80587.16814159293,60903.09734513275,-19684.07079646018,0.7557418724296782,True,643.8053097345133,209.0,Mid-low,Cool,-0.3202724389590346,1.2131164735455473
SF10017,Telangana,Indore,Cotton,Zaid,3.93,80.0,28.4,46.6,5.0,7.08,17.9,121.4,49.3,106.2,Flood,91.1,7.6,0.96,1.0,3.93,64034,218756,251654,32898,4210,0.933,32.3,False,False,False,0.8064516129032259,0.939031990790641,55663.104325699744,64034.096692111954,8370.992366412213,1.1503867322496297,False,1071.2468193384223,276.9,Low,Warm,-0.18278158549973308,1.4964200345775898
SF10018,Maharashtra,Ludhiana,Maize,Rabi,11.04,450.4,21.6,55.3,6.9,5.87,30.7,118.8,93.4,114.4,Rainfed,104.6,5.64,0.79,1.54,17.0,20107,727865,341819,-386046,3453,4.923,43.0,False,False,False,0.5403508771929825,0.9584346251012917,65929.80072463768,30961.865942028988,-34967.934782608696,0.4696186792880548,True,312.7717391304348,326.6,Mid-low,Cool,-0.84968029223353,0.5893529355250057
SF10019,Punjab,Nalgonda,Groundnut,Kharif,2.46,851.7,29.0,71.8,6.0,5.89,23.5,155.3,40.4,81.9,Drip,128.2,6.95,0.73,1.13,2.78,66966,143907,186165,42258,1220,2.279,53.1,False,False,False,0.8071428571428572,1.1889108840578424,58498.78048780488,75676.82926829268,17178.048780487807,1.2936479809877213,False,495.9349593495935,277.6,High,Warm,0.2081949110901735,1.062063789868668
SF10020,Madhya Pradesh,Krishna,Pulses,Rabi,14.48,415.8,22.3,48.3,9.1,6.67,28.6,68.3,40.3,88.1,Drip,274.2,8.54,0.87,1.1,15.93,69127,1125931,1101193,-24738,4803,3.317,27.3,False,False,False,1.170212765957447,0.9722982143987398,77757.66574585636,76049.24033149172,-1708.4254143646408,0.9780288490147265,True,331.6988950276243,196.7,Mid-low,Cool,-0.05485031531402045,0.927767190654813
SF10021,Punjab,Ludhiana,Rice,Rabi,0.95,409.8,23.2,58.7,7.0,7.49,24.8,85.6,88.7,83.9,Flood,206.0,2.22,0.94,1.6,1.52,20424,58222,31044,-27178,1814,0.838,45.8,False,False,False,0.6504065040650407,0.9264896005806437,61286.31578947369,32677.894736842107,-28608.42105263158,0.533200508398887,True,1909.4736842105265,258.20000000000005,Mid-low,Cool,-0.5075133442635698,1.36025748142397
SF10022,Punjab,Krishna,Rice,Rabi,5.62,918.7,22.2,66.8,7.5,7.35,22.8,129.7,65.0,93.4,Sprinkler,179.8,7.59,0.79,2.4,13.49,19160,427915,258468,-169447,8350,1.616,47.7,False,False,False,0.975609756097561,0.8691510354056567,76141.4590747331,45990.747330960854,-30150.71174377224,0.604017152939252,True,1485.7651245551601,288.1,High,Cool,-0.5581761623889597,1.0584189470778524
SF10023,Andhra Pradesh,Raichur,Wheat,Rabi,12.59,212.6,23.2,72.2,8.6,7.35,28.0,99.3,63.0,65.7,Drip,162.4,8.68,0.9,1.25,15.74,24218,820257,381191,-439066,6064,2.596,32.0,False,False,False,0.5643340857787811,1.0152807764059781,65151.46942017474,30277.283558379666,-34874.18586179508,0.4647214226760637,True,481.65210484511516,228.0,Low,Cool,-0.7946635517426429,0.9453286989801339
SF10024,Andhra Pradesh,Nalgonda,Groundnut,Kharif,2.49,1021.3,26.1,70.1,6.7,7.31,15.6,127.8,60.1,68.1,Flood,129.7,7.95,0.9,1.08,2.69,64375,186339,173169,-13170,1713,1.57,41.6,False,False,False,0.7714285714285716,1.1429104047012455,74834.93975903613,69545.78313253011,-5289.156626506024,0.9293223640783733,True,687.9518072289156,256.0,High,Mild,-0.42420044580901484,1.4732752548656163
SF10025,Telangana,Nashik,Wheat,Zaid,14.47,430.7,32.3,61.2,8.7,6.58,17.1,101.2,37.7,115.8,Rainfed,233.6,3.37,0.66,2.3,33.28,27284,1203928,908012,-295916,3869,8.602,64.0,False,False,False,1.0383747178329572,1.1438153730060578,83201.65860400829,62751.347615756735,-20450.310988251553,0.7542078928308005,True,267.38078783690395,254.7,Mid-low,Hot,-0.21853140463905263,0.5247827835807435
SF10026,Gujarat,Indore,Pulses,Kharif,13.3,853.0,35.8,85.1,5.2,5.52,25.6,112.5,71.6,98.7,Sprinkler,265.5,4.23,0.67,0.3,3.99,82458,998865,329007,-669858,5584,0.715,75.8,False,False,False,0.3191489361702128,1.1598039284634265,75102.63157894736,24737.36842105263,-50365.26315789473,0.32938084726164196,True,419.84962406015035,282.8,High,Hot,-1.4309736179800645,1.1743262098576635
SF10027,Madhya Pradesh,Krishna,Rice,Rabi,13.8,578.3,22.3,61.6,7.7,6.21,18.6,89.4,75.3,81.5,Drip,216.4,2.45,0.98,2.9,40.02,25815,744909,1033116,288207,17866,2.24,56.2,False,False,False,1.1788617886178863,1.1710403955635194,53978.91304347826,74863.47826086957,20884.565217391304,1.386902292763277,False,1294.6376811594203,246.2,Mid-low,Cool,1.1182853305803464,0.9222649183869667
SF10028,Punjab,Rajkot,Rice,Rabi,10.47,93.9,27.3,45.4,7.7,6.89,27.0,115.6,64.9,123.2,Rainfed,210.2,2.42,0.74,2.45,25.65,21364,545453,547987,2534,9077,2.826,45.7,False,False,False,0.9959349593495935,0.9691306221506498,52096.75262655205,52338.77745940783,242.0248328557784,1.004645679829426,False,866.953199617956,303.7,Low,Warm,0.44019703298822843,0.6175940446711876
SF10029,Tamil Nadu,Rajkot,Maize,Rabi,12.94,443.1,23.0,45.7,6.3,6.32,24.2,139.3,51.3,92.5,Sprinkler,286.7,8.22,0.97,3.01,38.95,20272,1176978,789594,-387384,8230,4.733,32.1,False,True,False,1.056140350877193,0.9662996329662996,90956.56877897991,61019.62905718702,-29936.939721792893,0.6708655556858327,True,636.0123647604328,283.1,Mid-low,Cool,-0.6754149168418805,1.1984322984035474
SF10030,Tamil Nadu,Rajkot,Groundnut,Zaid,13.15,565.4,32.7,50.7,7.3,6.65,15.6,158.0,46.8,151.0,Sprinkler,147.4,5.5,0.89,1.94,25.51,49492,695563,1262541,566978,7423,3.437,30.6,False,False,False,1.3857142857142857,0.8786783961083345,52894.5247148289,96010.72243346008,43116.19771863118,1.815135365164622,False,564.4866920152091,355.8,Mid-low,Hot,0.9382886035587229,1.208869961977186
SF10031,Telangana,Nalgonda,Chilli,Rabi,11.96,284.2,24.1,62.1,7.0,6.93,31.7,188.8,47.8,101.6,Rainfed,250.8,4.06,0.66,1.51,18.06,102219,738746,1846075,1107329,4721,3.825,40.2,False,False,False,0.9710610932475884,0.9924656536725084,61768.06020066889,154354.09698996655,92586.03678929765,2.498930620267318,False,394.73244147157186,338.20000000000005,Low,Mild,0.024033854428121115,0.6769925559268333
SF10032,Madhya Pradesh,Krishna,Groundnut,Zaid,0.69,372.1,31.7,30.8,7.4,7.92,12.2,127.3,66.2,131.1,Drip,139.4,4.39,0.96,0.3,0.21,54155,43431,11373,-32058,259,0.811,37.4,False,False,False,0.2142857142857143,0.9614650557917817,62943.47826086957,16482.608695652176,-46460.86956521739,0.26186364578296606,True,375.36231884057975,324.6,Mid-low,Hot,-1.5830806726271796,0.8038528428093646
SF10033,Madhya Pradesh,Indore,Cotton,Kharif,11.35,1066.8,30.3,76.6,6.4,7.56,35.9,104.2,49.9,106.8,Sprinkler,230.7,4.16,0.7,0.64,7.26,72112,782371,523533,-258838,9585,0.757,67.7,False,False,False,0.5161290322580645,1.057492502731279,68931.36563876653,46126.25550660793,-22805.110132158592,0.6691620727250882,True,844.4933920704846,260.9,High,Hot,-0.9228446402465956,1.1796691557442416
SF10034,Andhra Pradesh,Guntur,Maize,Kharif,9.8,849.0,26.4,88.0,8.2,6.03,35.5,154.3,49.1,129.8,Sprinkler,220.2,4.34,0.72,3.65,35.77,21914,782502,783864,1362,5884,6.079,52.1,False,False,False,1.280701754385965,1.0445683779017112,79847.14285714286,79986.12244897959,138.97959183673467,1.0017405706311293,False,600.408163265306,333.20000000000005,High,Mild,0.36636534850959057,1.1313436262411751
SF10035,Madhya Pradesh,Ludhiana,Wheat,Rabi,11.57,427.5,24.0,59.3,6.7,6.71,28.5,157.3,71.5,84.3,Sprinkler,186.8,1.13,0.86,3.83,44.31,26126,648827,1157643,508816,5400,8.206,61.4,False,False,False,1.7291196388261851,1.0952690380866539,56078.39239412273,100055.57476231633,43977.1823681936,1.7842090418555332,False,466.72428694900606,313.1,Mid-low,Mild,2.3548928939892435,0.9160301772288814
SF10036,Madhya Pradesh,Indore,Cotton,Zaid,7.05,179.4,34.1,55.5,8.7,7.0,14.8,94.3,66.8,101.3,Flood,231.5,7.26,0.96,0.75,5.29,66996,511293,354409,-156884,5944,0.89,29.0,False,False,False,0.6048387096774194,0.9824684894744946,72523.82978723405,50270.78014184397,-22253.04964539007,0.6931622376993231,True,843.1205673758866,262.4,Low,Hot,-0.9097397445893632,1.1777514628840395
SF10037,Tamil Nadu,Nalgonda,Cotton,Rabi,3.11,429.3,23.6,60.1,7.9,6.96,20.7,40.0,73.9,114.2,Drip,229.0,6.96,0.68,1.71,5.32,52396,243775,278747,34972,1780,2.989,33.0,False,False,False,1.379032258064516,0.7683655587573232,78384.24437299036,89629.26045016077,11245.016077170418,1.1434601579325196,False,572.347266881029,228.10000000000002,Mid-low,Cool,-0.11455757427523391,0.7995094141100331
SF10038,Andhra Pradesh,Ludhiana,Cotton,Kharif,2.79,820.1,26.3,74.6,7.5,7.62,31.9,123.2,91.7,80.6,Flood,153.2,5.91,0.68,0.7,1.95,66405,175756,129490,-46266,3058,0.638,52.5,False,False,False,0.564516129032258,0.9738017201557378,62994.98207885305,46412.18637992832,-16582.795698924732,0.7367600537108264,True,1096.057347670251,295.5,Mid-high,Mild,-0.7751383954629303,1.5310777539695895
SF10039,Telangana,Warangal,Wheat,Kharif,4.69,657.7,27.1,64.9,6.2,7.85,31.9,87.6,87.5,81.5,Drip,218.9,4.78,0.92,0.98,4.6,25408,293568,116877,-176691,2392,1.923,50.0,False,False,False,0.44243792325056436,1.065168633533863,62594.456289978676,24920.469083155647,-37673.987206823025,0.39812581752779597,True,510.0213219616204,256.6,Mid-high,Warm,-0.9064958835200878,1.0010083790605413
SF10040,Tamil Nadu,Ludhiana,Maize,Kharif,6.12,936.0,31.8,56.3,7.1,7.03,30.3,91.9,48.0,103.6,Rainfed,46.3,8.07,0.79,3.24,19.83,24731,321710,490416,168706,2144,9.249,46.7,False,False,False,1.1368421052631579,1.1788455121788455,52566.993464052284,80133.33333333333,27566.339869281044,1.5244039663050573,False,350.3267973856209,243.5,High,Hot,1.3164038949548744,0.6601175892882933
SF10041,Karnataka,Indore,Pulses,Kharif,12.31,768.4,29.0,67.0,6.1,8.22,26.7,69.5,49.1,98.6,Flood,214.2,7.11,0.73,0.3,3.69,95238,791517,351428,-440089,6153,0.6,54.7,False,False,False,0.3191489361702128,1.3395596126391593,64298.700243704305,28548.17221770918,-35750.528025995125,0.44399299067486864,True,499.83753046303815,217.2,Mid-high,Warm,-1.0176364898397672,1.3980536817372036
SF10042,Maharashtra,Erode,Wheat,Zaid,13.35,156.6,30.8,51.7,9.9,6.34,19.5,135.7,75.0,115.5,Sprinkler,158.2,5.76,0.77,1.69,22.56,22869,897488,515925,-381563,7377,3.058,17.1,False,False,False,0.7629796839729119,0.9587272308047037,67227.56554307116,38646.06741573034,-28581.498127340823,0.574854482734031,True,552.5842696629213,326.2,Low,Hot,-0.5433150252691256,1.0845458027953943
SF10043,Karnataka,Krishna,Rice,Kharif,9.47,639.2,22.6,74.9,4.9,5.73,43.6,66.1,54.9,125.5,Rainfed,313.4,4.78,0.94,0.9,8.52,25346,744619,215948,-528671,7926,1.075,52.0,False,False,False,0.36585365853658536,1.1497652475674205,78629.25026399155,22803.379091869057,-55825.87117212249,0.29001140180414414,True,836.9588173178457,246.5,Mid-high,Cool,-1.4015813258454426,0.5962268568111022
SF10044,Tamil Nadu,Erode,Wheat,Rabi,7.56,460.1,24.0,58.7,6.7,6.6,24.95,96.2,42.9,139.3,Sprinkler,241.9,5.34,0.69,2.6,19.66,24887,550176,489278,-60898,4545,4.326,44.7,False,True,False,1.1738148984198646,1.0433269750770326,72774.60317460318,64719.31216931217,-8055.291005291006,0.8893117838655267,True,601.1904761904763,278.4,Mid-low,Mild,0.2765622881988824,1.1799442065744643
SF10045,Madhya Pradesh,Krishna,Wheat,Kharif,14.23,853.7,28.2,77.6,6.9,7.04,31.8,109.5,61.7,148.7,Drip,163.7,4.26,0.85,3.35,47.67,23547,980255,1122485,142230,5966,7.99,55.4,False,False,False,1.5124153498871333,0.9871507325968936,68886.50737877723,78881.58819395643,9995.080815179199,1.1450948987763387,False,419.25509486999294,319.9,High,Warm,0.9975474301332711,0.8228633683676979
SF10046,Telangana,Erode,Wheat,Kharif,2.14,485.7,28.0,80.1,7.2,8.08,34.7,111.0,56.6,74.9,Drip,146.2,4.25,0.95,0.32,0.68,25224,116463,17152,-99311,791,0.86,49.4,False,False,False,0.14446952595936796,1.0574548808350976,54421.96261682243,8014.953271028037,-46407.00934579439,0.1472742416046298,True,369.626168224299,242.5,Mid-low,Warm,-1.255318570886669,0.725457692806826
SF10047,Andhra Pradesh,Nalgonda,Groundnut,Kharif,5.6,728.5,27.0,76.7,6.9,6.36,27.4,92.2,72.7,80.9,Sprinkler,194.0,4.7,0.71,2.63,14.73,53568,337133,789057,451924,3052,4.826,63.2,False,False,False,1.8785714285714286,0.9510434882957097,60202.321428571435,140903.0357142857,80700.71428571429,2.3404917347159726,False,545.0,245.8,Mid-high,Warm,1.9961982695701947,1.1671384615384615
SF10048,Punjab,Ludhiana,Sugarcane,Zaid,7.68,90.0,31.9,52.7,9.8,6.51,18.3,164.0,59.6,54.9,Sprinkler,136.9,8.04,0.76,36.69,281.78,3682,480826,1037514,556688,13263,21.246,30.0,False,False,False,0.7638975640224859,1.0556192660550459,62607.552083333336,135092.96875,72485.41666666667,2.1577743300071126,False,1726.953125,278.5,Low,Hot,-0.34164357014393715,1.0270255343918313
SF10049,Andhra Pradesh,Erode,Chilli,Zaid,5.52,91.3,34.1,63.0,7.2,5.55,20.9,124.8,75.2,130.8,Rainfed,207.3,4.96,0.87,0.3,1.66,102697,376564,170477,-206087,1257,1.321,43.9,False,False,False,0.19292604501607713,0.9971066556628962,68218.11594202899,30883.514492753624,-37334.60144927537,0.45271720079455285,True,227.71739130434784,330.8,Low,Hot,-1.3100281051139104,0.3905505668431965
SF10050,Madhya Pradesh,Erode,Rice,Rabi,8.8,792.2,21.5,51.4,8.0,7.8,21.8,104.1,61.9,82.3,Flood,223.7,6.7,0.7,0.76,6.69,19703,741670,131813,-609857,15881,0.421,53.6,False,False,False,0.3089430894308943,0.8937830297806709,84280.68181818181,14978.749999999998,-69301.93181818181,0.1777245944962045,True,1804.6590909090908,248.3,Mid-high,Cool,-1.8442574137449845,1.2855903959963768
SF10051,Telangana,Warangal,Rice,Zaid,9.82,227.2,29.5,63.5,7.6,6.81,17.8,122.5,54.9,97.0,Flood,162.7,0.62,0.78,2.87,28.18,21316,534995,600685,65690,16682,1.689,49.4,False,False,False,1.1666666666666667,0.9669532082832453,54480.14256619145,61169.55193482688,6689.409368635438,1.1227861942634978,False,1698.7780040733196,274.4,Low,Warm,0.6519876325146223,1.2101635693788597
SF10052,Andhra Pradesh,Rajkot,Pulses,Rabi,8.61,80.0,24.8,60.9,7.5,5.43,28.0,107.1,46.4,137.6,Sprinkler,178.1,4.92,1.0,0.3,2.58,71065,492155,183348,-308807,3106,0.831,40.2,False,False,False,0.3191489361702128,0.9995569402150598,57160.85946573752,21294.773519163766,-35866.08594657375,0.37254117097255945,True,360.7433217189315,291.1,Low,Mild,-1.0209047241659288,1.0090049233078855
SF10053,Gujarat,Indore,Rice,Zaid,11.52,206.2,34.3,50.3,10.0,7.01,32.7,106.7,50.4,98.1,Flood,112.7,6.15,0.87,1.69,19.47,19275,674473,375284,-299189,20211,0.963,18.9,False,False,False,0.6869918699186992,0.8743677561296469,58548.003472222226,32576.736111111113,-25971.267361111113,0.556410708805245,True,1754.4270833333335,255.2,Low,Hot,-0.4208852924898869,1.2498064704692124
SF10054,Telangana,Nalgonda,Maize,Kharif,3.18,591.2,28.1,63.9,6.8,5.66,30.8,126.9,27.6,137.7,Flood,289.5,5.4,0.77,1.11,3.53,17359,254223,61277,-192946,2327,1.517,39.8,False,False,False,0.38947368421052636,0.8274464941131607,79944.3396226415,19269.49685534591,-60674.842767295595,0.24103641291307237,True,731.7610062893082,292.2,Mid-high,Warm,-1.740125207395825,1.3788505903964865
SF10055,Andhra Pradesh,Raichur,Rice,Rabi,7.08,460.0,22.8,57.4,8.5,7.14,19.2,125.2,30.8,126.7,Flood,115.3,6.38,0.94,2.92,20.67,24229,591425,500813,-90612,16012,1.291,29.2,False,False,False,1.1869918699186992,1.0990950123613599,83534.60451977402,70736.29943502825,-12798.305084745763,0.8467903791689564,True,2261.5819209039546,282.7,Mid-low,Cool,0.01183429520764037,1.6110898794788628
SF10056,Karnataka,Warangal,Groundnut,Rabi,11.7,167.3,26.2,62.4,6.8,6.3,21.8,122.8,27.7,135.0,Drip,240.5,5.39,0.94,1.6598290598290601,19.42,50837,780159,987255,207096,4665,4.163,39.4,False,False,False,1.1855921855921858,0.9025574562143257,66680.25641025642,84380.76923076923,17700.51282051282,1.265453580616259,False,398.71794871794873,285.5,Low,Mild,0.2229009605107997,0.8538698224852072
SF10057,Telangana,Nashik,Pulses,Rabi,6.91,489.4,24.0,67.2,9.1,6.46,31.0,121.2,55.7,107.5,Drip,212.0,6.15,0.87,1.49,10.3,70845,462116,729704,267588,2165,4.758,34.5,False,False,False,1.5851063829787235,0.9964625544154776,66876.41099855282,105601.15774240231,38724.74674384949,1.5790494161639068,False,313.3140376266281,284.4,Mid-low,Mild,1.0886894827490992,0.8763444462405119
SF10058,Telangana,Nashik,Maize,Zaid,7.06,336.9,29.4,62.0,9.0,7.53,11.3,152.4,63.1,106.1,Rainfed,116.8,4.01,0.86,1.16,8.19,22633,430059,185364,-244695,2031,4.032,33.3,False,False,False,0.40701754385964906,1.0788407455074123,60914.87252124646,26255.524079320116,-34659.34844192635,0.43101992982358234,True,287.67705382436264,321.6,Low,Warm,-0.8389913700919477,0.5420672488695302
SF10059,Madhya Pradesh,Raichur,Maize,Zaid,6.62,278.1,31.1,59.3,8.3,7.55,19.1,129.3,82.0,47.0,Flood,168.0,2.1,0.89,1.34,8.87,18651,455124,165434,-289690,5550,1.598,47.6,False,False,False,0.47017543859649125,0.889031889031889,68749.84894259818,24990.030211480364,-43759.818731117826,0.36349214719505013,True,838.3685800604229,258.3,Low,Hot,-1.1542166589296086,1.5797302693786193
SF10060,Gujarat,Erode,Groundnut,Kharif,10.0,664.7,25.1,72.3,6.8,6.49,32.8,118.6,31.3,69.5,Flood,139.1,5.53,0.76,2.07,20.7,59223,619756,1225916,606160,7146,2.897,42.2,False,False,False,1.4785714285714286,1.0514420644290774,61975.6,122591.6,60616.0,1.9780623342089467,False,714.6,219.4,Mid-high,Mild,1.4308640489208093,1.5303433846153847
SF10061,Karnataka,Guntur,Groundnut,Kharif,14.38,1002.0,27.9,63.0,5.5,6.62,30.2,127.4,61.8,86.2,Rainfed,194.4,5.01,0.97,1.73,24.88,53834,972766,1339390,366624,4408,5.644,66.6,False,False,False,1.2357142857142858,0.9557660384728054,67647.1488178025,93142.55910987483,25495.41029207232,1.3768881724895812,False,306.53685674547984,275.4,High,Warm,0.44230773047716837,0.6564604685995507
